Date	TgtLow	TgtHigh	DeltaTgtLow	DeltaTgtHigh	FOMC Meeting Day Prior	FOMC Meeting Same Day	Meeting unscheduled
27.09.2018	0.0200	0.0225	0.0025		1	0	0
14.06.2018	0.0175	0.0200	0.0025		1	0	0
22.03.2018	0.0150	0.0175	0.0025		1	0	0
14.12.2017	0.0125	0.0150	0.0025		1	0	0
15.06.2017	0.0100	0.0125	0.0025		1	0	0
16.03.2017	0.0075	0.0100	0.0025		1	0	0
15.12.2016	0.0050	0.0075	0.0025		1	0	0
17.12.2015	0.0025	0.0050	0.0025		1	0	0
16.12.2008	0.0000	0.0025	-0.0075	-0.01	0	1	0
29.10.2008	0.0100		-0.005		0	1	0
08.10.2008	0.0150		-0.005		1	0	1
30.04.2008	0.0200		-0.0025		0	1	0
18.03.2008	0.0225		-0.0075		0	1	0
30.01.2008	0.0300		-0.005		0	1	0
22.01.2008	0.0350		-0.0075		1	0	1
11.12.2007	0.0425		-0.0025		0	1	0
31.10.2007	0.0450		-0.0025		0	1	0
18.09.2007	0.0475		-0.005		0	1	0
29.06.2006	0.0525		0.0025		0	1	0
10.05.2006	0.0500		0.0025		0	1	0
28.03.2006	0.0475		0.0025		0	1	0
31.01.2006	0.0450		0.0025		0	1	0
13.12.2005	0.0425		0.0025		0	1	0
01.11.2005	0.0400		0.0025		0	1	0
20.09.2005	0.0375		0.0025		0	1	0
09.08.2005	0.0350		0.0025		0	1	0
30.06.2005	0.0325		0.0025		0	1	0
03.05.2005	0.0300		0.0025		0	1	0
22.03.2005	0.0275		0.0025		0	1	0
02.02.2005	0.0250		0.0025		0	1	0
14.12.2004	0.0225		0.0025		0	1	0
10.11.2004	0.0200		0.0025		0	1	0
21.09.2004	0.0175		0.0025		0	1	0
10.08.2004	0.0150		0.0025		0	1	0
30.06.2004	0.0125		0.0025		0	1	0
25.06.2003	0.0100		-0.0025		0	1	0
06.11.2002	0.0125		-0.005		0	1	0
11.12.2001	0.0175		-0.0025		0	1	0
06.11.2001	0.0200		-0.005		0	1	0
02.10.2001	0.0250		-0.005		0	1	0
17.09.2001	0.0300		-0.005		0	1	1
21.08.2001	0.0350		-0.0025		0	1	0
27.06.2001	0.0375		-0.0025		0	1	0
15.05.2001	0.0400		-0.005		0	1	0
18.04.2001	0.0450		-0.005		0	1	1
20.03.2001	0.0500		-0.005		0	1	0
31.01.2001	0.0550		-0.005		0	1	0
03.01.2001	0.0600		-0.005		0	1	1
16.05.2000	0.0650		0.005		0	1	0
21.03.2000	0.0600		0.0025		0	1	0
02.02.2000	0.0575		0.0025		0	1	0
16.11.1999	0.0550		0.0025		0	1	0
24.08.1999	0.0525		0.0025		0	1	0
30.06.1999	0.0500		0.0025		0	1	0
17.11.1998	0.0475		-0.0025		0	1	0
15.10.1998	0.0500		-0.0025		0	1	1
29.09.1998	0.0525		-0.0025		0	1	0
