Date;TgtLow;TgtHigh;DeltaTgtLow;DeltaTgtHigh;FOMC Meeting Day Prior;FOMC Meeting Same Day;Meeting unscheduled
27.09.2018;2.00%;2.25%;0.0025;;1;0;0
14.06.2018;1.75%;2.00%;0.0025;;1;0;0
22.03.2018;1.50%;1.75%;0.0025;;1;0;0
14.12.2017;1.25%;1.50%;0.0025;;1;0;0
15.06.2017;1.00%;1.25%;0.0025;;1;0;0
16.03.2017;0.75%;1.00%;0.0025;;1;0;0
15.12.2016;0.50%;0.75%;0.0025;;1;0;0
17.12.2015;0.25%;0.50%;0.0025;;1;0;0
16.12.2008;0.00%;0.25%;-0.0075;-0.0100;0;1;0
29.10.2008;1.00%;;-0.0050;;0;1;0
08.10.2008;1.50%;;-0.0050;;1;0;1
30.04.2008;2.00%;;-0.0025;;0;1;0
18.03.2008;2.25%;;-0.0075;;0;1;0
30.01.2008;3.00%;;-0.0050;;0;1;0
22.01.2008;3.50%;;-0.0075;;1;0;1
11.12.2007;4.25%;;-0.0025;;0;1;0
31.10.2007;4.50%;;-0.0025;;0;1;0
18.09.2007;4.75%;;-0.0050;;0;1;0
29.06.2006;5.25%;;0.0025;;0;1;0
10.05.2006;5.00%;;0.0025;;0;1;0
28.03.2006;4.75%;;0.0025;;0;1;0
31.01.2006;4.50%;;0.0025;;0;1;0
13.12.2005;4.25%;;0.0025;;0;1;0
01.11.2005;4.00%;;0.0025;;0;1;0
20.09.2005;3.75%;;0.0025;;0;1;0
09.08.2005;3.50%;;0.0025;;0;1;0
30.06.2005;3.25%;;0.0025;;0;1;0
03.05.2005;3.00%;;0.0025;;0;1;0
22.03.2005;2.75%;;0.0025;;0;1;0
02.02.2005;2.50%;;0.0025;;0;1;0
14.12.2004;2.25%;;0.0025;;0;1;0
10.11.2004;2.00%;;0.0025;;0;1;0
21.09.2004;1.75%;;0.0025;;0;1;0
10.08.2004;1.50%;;0.0025;;0;1;0
30.06.2004;1.25%;;0.0025;;0;1;0
25.06.2003;1.00%;;-0.0025;;0;1;0
06.11.2002;1.25%;;-0.0050;;0;1;0
11.12.2001;1.75%;;-0.0025;;0;1;0
06.11.2001;2.00%;;-0.0050;;0;1;0
02.10.2001;2.50%;;-0.0050;;0;1;0
17.09.2001;3.00%;;-0.0050;;0;1;1
21.08.2001;3.50%;;-0.0025;;0;1;0
27.06.2001;3.75%;;-0.0025;;0;1;0
15.05.2001;4.00%;;-0.0050;;0;1;0
18.04.2001;4.50%;;-0.0050;;0;1;1
20.03.2001;5.00%;;-0.0050;;0;1;0
31.01.2001;5.50%;;-0.0050;;0;1;0
03.01.2001;6.00%;;-0.0050;;0;1;1
16.05.2000;6.50%;;0.0050;;0;1;0
21.03.2000;6.00%;;0.0025;;0;1;0
02.02.2000;5.75%;;0.0025;;0;1;0
16.11.1999;5.50%;;0.0025;;0;1;0
24.08.1999;5.25%;;0.0025;;0;1;0
30.06.1999;5.00%;;0.0025;;0;1;0
17.11.1998;4.75%;;-0.0025;;0;1;0
15.10.1998;5.00%;;-0.0025;;0;1;1
29.09.1998;5.25%;;-0.0025;;0;1;0
;;;;;;;
